,test_size,n_estimators,learning_rate,max_depth,rmse
0,0.2,100.0,0.1,3.0,0.24921569964440968
1,0.2,200.0,0.1,3.0,0.24711062875238402
2,0.2,300.0,0.1,3.0,0.2471232941411771
3,0.2,400.0,0.1,3.0,0.24746711741249913
4,0.2,500.0,0.1,3.0,0.24777938196194568
5,0.2,600.0,0.1,3.0,0.24830079382554954
6,0.2,200.0,0.01,3.0,0.25356435116663495
7,0.2,200.0,0.001,3.0,0.2575576819025469
8,0.2,200.0,0.1,4.0,0.24678150163747659
9,0.2,200.0,0.1,5.0,0.2488658892154667
10,0.2,250.0,0.1,4.0,0.2466446416197269
11,0.2,275.0,0.1,4.0,0.247056415665291
12,0.2,263.0,0.1,4.0,0.24689020200264933
13,0.2,257.0,0.1,4.0,0.24669190284113307
14,0.2,254.0,0.1,4.0,0.24672667912225227
15,0.2,251.0,0.1,4.0,0.24664147016523122
16,0.2,252.0,0.1,4.0,0.24664902583379675
17,0.3,251.0,0.1,4.0,0.25282936358705704
18,0.1,251.0,0.1,4.0,0.2372369178066764
19,0.05,251.0,0.1,4.0,0.24421346186217963
20,0.09,251.0,0.1,4.0,0.24096775023214279
21,0.11,251.0,0.1,4.0,0.23802240768972033
